"id";"content";"quoted_by"
1;"Life is 10% what happens to you and 90% how you react to it.";"Charles R. Swindoll"
2;"Failure will never overtake me if my determination to succeed is strong enough.";"Og Mandino"
3;"In order to succeed, we must first believe that we can.";"Nikos Kazantzakis"
4;"A creative man is motivated by the desire to achieve, not by the desire to beat others.";"Ayn Rand"
5;"Poverty was the greatest motivating factor in my life.";"Jimmy Dean"
6;"What you do today can improve all your tomorrows.";"Ralph Marston"
7;"Always do your best. What you plant now, you will harvest later.";"Og Mandino"
8;"Don't watch the clock; do what it does. Keep going.";"Sam Levenson"
9;"If you can dream it, you can do it.";"Walt Disney"
10;"It does not matter how slowly you go as long as you do not stop.";"Confucius"
11;"Our greatest weakness lies in giving up. The most certain way to succeed is always to try just one more time.";"Thomas A. Edison"
12;"Aim for the moon. If you miss, you may hit a star.";"W. Clement Stone"
13;"Keep your eyes on the stars, and your feet on the ground.";"Theodore Roosevelt"
14;"You are never too old to set another goal or to dream a new dream.";"C. S. Lewis"
15;"The secret of getting ahead is getting started.";"Mark Twain"
